$ node fix-bpmn-references.js
[fix-bpmn] Found 413 Markdown/MDX files
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\user-guide\process-engine\transactions-in-processes.md
[fix-bpmn] 6 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\user-guide\process-engine\process-instance-modification.md
[fix-bpmn] 10 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\user-guide\process-engine\process-instance-migration.md
[fix-bpmn] 4 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\tasks\task-markers.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\subprocesses\transaction-subprocess.md
[fix-bpmn] 4 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\subprocesses\event-subprocess.md
[fix-bpmn] 3 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\subprocesses\embedded-subprocess.md
[fix-bpmn] 2 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\subprocesses\call-activity.md
[fix-bpmn] 3 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\gateways\sequence-flow.md
[fix-bpmn] 2 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\gateways\parallel-gateway.md
[fix-bpmn] 5 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\gateways\inclusive-gateway.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\gateways\exclusive-gateway.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\gateways\event-based-gateway.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\timer-events.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\terminate-event.md
[fix-bpmn] 2 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\signal-events.md
[fix-bpmn] 2 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\none-events.md
[fix-bpmn] 3 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\message-events.md
[fix-bpmn] 1 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\link-events.md
[fix-bpmn] 5 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\escalation-events.md
[fix-bpmn] 4 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\error-events.md
[fix-bpmn] 3 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\conditional-events.md
[fix-bpmn] 2 reference(s) fixed in: C:\Users\mail\Development\documentation\docs\documentation\reference\bpmn20\events\cancel-and-compensation-events.md
[fix-bpmn] Done! Total replacements across all files: 67
